Updated accumulative weights and branch weights:
Transaction 275: Accumulative weight = 1630, Branch weight = 0
Transaction 276: Accumulative weight = 4330, Branch weight = 0
Transaction 277: Accumulative weight = 289, Branch weight = 0
Transaction 278: Accumulative weight = 2609, Branch weight = 0
Transaction 279: Accumulative weight = 1945, Branch weight = 0
Transaction 280: Accumulative weight = 6683, Branch weight = 0
Transaction 281: Accumulative weight = 288, Branch weight = 0
Transaction 282: Accumulative weight = 3731, Branch weight = 0
Transaction 283: Accumulative weight = 3715, Branch weight = 0
Transaction 284: Accumulative weight = 46, Branch weight = 0
Transaction 285: Accumulative weight = 1169, Branch weight = 0
Transaction 286: Accumulative weight = 2400, Branch weight = 0
Transaction 287: Accumulative weight = 458, Branch weight = 0
Transaction 288: Accumulative weight = 2952, Branch weight = 0
Transaction 289: Accumulative weight = 2106, Branch weight = 0
Transaction 290: Accumulative weight = 3162, Branch weight = 0
Transaction 291: Accumulative weight = 515, Branch weight = 0
Transaction 292: Accumulative weight = 3730, Branch weight = 0
Transaction 293: Accumulative weight = 2700, Branch weight = 0
Transaction 294: Accumulative weight = 4329, Branch weight = 0
Transaction 295: Accumulative weight = 1103, Branch weight = 0
Transaction 296: Accumulative weight = 2399, Branch weight = 0
Transaction 297: Accumulative weight = 1077, Branch weight = 0
Transaction 298: Accumulative weight = 552, Branch weight = 0
Transaction 299: Accumulative weight = 288, Branch weight = 0
Transaction 300: Accumulative weight = 1817, Branch weight = 0
Transaction 301: Accumulative weight = 553, Branch weight = 0
Transaction 302: Accumulative weight = 2608, Branch weight = 0
Transaction 303: Accumulative weight = 2893, Branch weight = 0
Transaction 304: Accumulative weight = 1629, Branch weight = 0
Transaction 305: Accumulative weight = 1942, Branch weight = 0
Transaction 306: Accumulative weight = 2699, Branch weight = 0
Transaction 307: Accumulative weight = 836, Branch weight = 0
Transaction 308: Accumulative weight = 365, Branch weight = 0
Transaction 309: Accumulative weight = 552, Branch weight = 0
Transaction 310: Accumulative weight = 1168, Branch weight = 0
Transaction 311: Accumulative weight = 1077, Branch weight = 0
Transaction 312: Accumulative weight = 1263, Branch weight = 0
Transaction 313: Accumulative weight = 514, Branch weight = 0
Transaction 314: Accumulative weight = 1530, Branch weight = 0
Transaction 315: Accumulative weight = 1941, Branch weight = 0
Transaction 316: Accumulative weight = 552, Branch weight = 0
Transaction 317: Accumulative weight = 550, Branch weight = 0
Transaction 318: Accumulative weight = 457, Branch weight = 0
Transaction 319: Accumulative weight = 187, Branch weight = 0
Transaction 320: Accumulative weight = 979, Branch weight = 0
Transaction 321: Accumulative weight = 1076, Branch weight = 0
Transaction 322: Accumulative weight = 1262, Branch weight = 0
Transaction 323: Accumulative weight = 285, Branch weight = 0
Transaction 324: Accumulative weight = 934, Branch weight = 0
Transaction 325: Accumulative weight = 233, Branch weight = 0
Transaction 326: Accumulative weight = 93, Branch weight = 0
Transaction 327: Accumulative weight = 838, Branch weight = 0
Transaction 328: Accumulative weight = 550, Branch weight = 0
Transaction 329: Accumulative weight = 287, Branch weight = 0
Transaction 330: Accumulative weight = 456, Branch weight = 0
Transaction 331: Accumulative weight = 1075, Branch weight = 0
Transaction 332: Accumulative weight = 186, Branch weight = 0
Transaction 333: Accumulative weight = 978, Branch weight = 0
Transaction 334: Accumulative weight = 551, Branch weight = 0
Transaction 335: Accumulative weight = 278, Branch weight = 0
Transaction 336: Accumulative weight = 286, Branch weight = 0
Transaction 337: Accumulative weight = 271, Branch weight = 0
Transaction 338: Accumulative weight = 141, Branch weight = 0
Transaction 339: Accumulative weight = 364, Branch weight = 0
Transaction 340: Accumulative weight = 933, Branch weight = 0
Transaction 341: Accumulative weight = 285, Branch weight = 0
Transaction 342: Accumulative weight = 91, Branch weight = 0
Transaction 343: Accumulative weight = 140, Branch weight = 0
Transaction 344: Accumulative weight = 45, Branch weight = 0
Transaction 345: Accumulative weight = 551, Branch weight = 0
